DATE,WILL5000PR
2021-07-02,45301.09
2021-07-05,.
2021-07-06,45189.57
2021-07-07,45271.57
2021-07-08,44879.42
2021-07-09,45440.76
2021-07-12,45570.11
2021-07-13,45324.36
2021-07-14,45289.72
2021-07-15,45144.82
2021-07-16,44811.97
2021-07-19,44131.22
2021-07-20,44880.84
2021-07-21,45287.89
2021-07-22,45315.58
2021-07-23,45765.21
2021-07-26,45865.27
2021-07-27,45602.66
2021-07-28,45645.10
2021-07-29,45838.75
2021-07-30,45568.13
2021-08-02,45493.31
2021-08-03,45821.88
2021-08-04,45608.87
2021-08-05,45933.17
2021-08-06,45993.93
2021-08-09,45957.19
2021-08-10,45989.76
2021-08-11,46105.13
2021-08-12,46221.02
2021-08-13,46243.58
2021-08-16,46278.16
2021-08-17,45925.06
2021-08-18,45460.78
2021-08-19,45439.78
2021-08-20,45842.27
2021-08-23,46288.07
2021-08-24,46426.43
2021-08-25,46540.52
2021-08-26,46241.98
2021-08-27,46729.33
2021-08-30,46897.81
2021-08-31,46846.63
2021-09-01,46895.89
2021-09-02,47055.62
2021-09-03,47032.04
2021-09-06,.
2021-09-07,46846.90
2021-09-08,46737.98
2021-09-09,46549.55
2021-09-10,46169.32
2021-09-13,46274.69
2021-09-14,45968.11
2021-09-15,46365.64
2021-09-16,46321.86
2021-09-17,45958.99
2021-09-20,45150.28
2021-09-21,45152.02
2021-09-22,45602.70
2021-09-23,46162.27
2021-09-24,46201.13
2021-09-27,46135.77
2021-09-28,45185.75
2021-09-29,45227.76
2021-09-30,44719.60
2021-10-01,45239.75
2021-10-04,44648.87
2021-10-05,45087.00
2021-10-06,45251.38
2021-10-07,45675.51
2021-10-08,45558.94
2021-10-11,45252.15
2021-10-12,45212.14
2021-10-13,45371.79
2021-10-14,46124.59
2021-10-15,46426.49
2021-10-18,46595.68
2021-10-19,46914.30
2021-10-20,47098.00
2021-10-21,47243.43
2021-10-22,47150.73
2021-10-25,47399.57
2021-10-26,47435.32
2021-10-27,47102.37
2021-10-28,47622.27
2021-10-29,47690.50
2021-11-01,47904.27
2021-11-02,48040.57
2021-11-03,48399.29
2021-11-04,48556.96
2021-11-05,48753.23
2021-11-08,48822.20
2021-11-09,48651.43
2021-11-10,48179.86
2021-11-11,48251.52
2021-11-12,48582.26
2021-11-15,48571.08
2021-11-16,48763.64
2021-11-17,48587.83
2021-11-18,48685.36
2021-11-19,48583.48
2021-11-22,48387.43
2021-11-23,48443.15
2021-11-24,48572.90
2021-11-25,.
2021-11-26,47442.25
2021-11-29,47985.90
2021-11-30,47063.19
2021-12-01,46402.40
2021-12-02,47112.37
2021-12-03,46609.44
2021-12-06,47179.38
2021-12-07,48178.09
2021-12-08,48373.13
2021-12-09,47919.09
2021-12-10,48281.79
2021-12-13,47815.30
2021-12-14,47453.30
2021-12-15,48223.20
2021-12-16,47723.28
2021-12-17,47360.16
2021-12-20,46791.48
2021-12-21,47704.26
2021-12-22,48178.91
2021-12-23,48493.87
2021-12-24,.
2021-12-27,49115.15
2021-12-28,49022.20
2021-12-29,49081.45
2021-12-30,48969.70
2021-12-31,48835.47
2022-01-03,49174.62
2022-01-04,49101.85
2022-01-05,48040.54
2022-01-06,48037.66
2022-01-07,47813.75
2022-01-10,47741.80
2022-01-11,48219.04
2022-01-12,48299.08
2022-01-13,47615.30
2022-01-14,47655.23
2022-01-17,.
2022-01-18,46716.81
2022-01-19,46234.68
2022-01-20,45695.78
2022-01-21,44797.92
2022-01-24,44999.47
2022-01-25,44418.87
2022-01-26,44297.77
2022-01-27,43973.30
2022-01-28,45050.23
2022-01-31,46001.70
2022-02-01,46354.25
2022-02-02,46670.75
2022-02-03,45543.70
2022-02-04,45851.42
2022-02-07,45728.00
2022-02-08,46155.99
2022-02-09,46864.46
2022-02-10,46035.00
2022-02-11,45188.41
2022-02-14,45012.15
2022-02-15,45792.27
2022-02-16,45811.37
2022-02-17,44804.81
2022-02-18,44452.65
2022-02-21,.
2022-02-22,43960.97
2022-02-23,43133.81
2022-02-24,43870.05
2022-02-25,44857.26
2022-02-28,44814.47
2022-03-01,44116.36
2022-03-02,44944.35
2022-03-03,44630.12
2022-03-04,44208.84
2022-03-07,42869.42
2022-03-08,42635.57
2022-03-09,43761.91
2022-03-10,43573.51
2022-03-11,42968.42
2022-03-14,42561.12
2022-03-15,43441.72
2022-03-16,44484.50
2022-03-17,45077.13
2022-03-18,45627.56
2022-03-21,45574.40
2022-03-22,46120.76
2022-03-23,45544.67
2022-03-24,46183.41
2022-03-25,46373.26
2022-03-28,46693.42
2022-03-29,47349.95
2022-03-30,46975.73
2022-03-31,46253.01
2022-04-01,46442.75
2022-04-04,46821.06
2022-04-05,46151.19
2022-04-06,45648.46
2022-04-07,45790.36
2022-04-08,45639.23
2022-04-11,44923.68
2022-04-12,44789.10
2022-04-13,45362.11
2022-04-14,44811.91
2022-04-15,.
2022-04-18,44758.41
2022-04-19,45527.84
2022-04-20,45477.38
2022-04-21,44732.57
2022-04-22,43517.96
2022-04-25,43785.51
2022-04-26,42519.97
2022-04-27,42570.54
2022-04-28,43602.45
2022-04-29,42042.54
2022-05-02,42308.03
2022-05-03,42517.55
2022-05-04,43762.52
2022-05-05,42148.26
2022-05-06,41829.09
2022-05-09,40388.07
2022-05-10,40458.57
2022-05-11,39734.35
2022-05-12,39750.53
2022-05-13,40783.74
2022-05-16,40579.78
2022-05-17,41444.28
2022-05-18,39775.20
2022-05-19,39594.66
2022-05-20,39586.02
2022-05-23,40283.06
2022-05-24,39865.68
2022-05-25,40319.58
2022-05-26,41154.17
2022-05-27,42197.49
2022-05-30,.
2022-05-31,41900.11
2022-06-01,41595.66
2022-06-02,42415.00
2022-06-03,41736.67
2022-06-06,41869.96
2022-06-07,42293.73
2022-06-08,41825.63
2022-06-09,40820.14
2022-06-10,39612.25
2022-06-13,37992.72
2022-06-14,37856.90
2022-06-15,38431.11
2022-06-16,37104.42
2022-06-17,37246.99
2022-06-20,.
2022-06-21,38129.35
2022-06-22,38076.70
2022-06-23,38482.57
2022-06-24,39672.99
2022-06-27,39574.58
2022-06-28,38774.65
2022-06-29,38697.67
2022-06-30,38338.74
2022-07-01,38773.35
2022-07-04,.
2022-07-05,38899.80
2022-07-06,38979.00
2022-07-07,39626.08
2022-07-08,39587.23
2022-07-11,39085.94
2022-07-12,38749.36
2022-07-13,38589.94
2022-07-14,38438.51
2022-07-15,39188.40
2022-07-18,38894.33
2022-07-19,39988.15
2022-07-20,40293.62
2022-07-21,40674.24
2022-07-22,40247.54
2022-07-25,40304.28
2022-07-26,39820.18
2022-07-27,40860.19
2022-07-28,41370.75
2022-07-29,41953.32
2022-08-01,41853.69
2022-08-02,41611.36
2022-08-03,42276.61
2022-08-04,42241.26
2022-08-05,42215.25
2022-08-08,42211.76
2022-08-09,41972.53
2022-08-10,42924.77
2022-08-11,42897.31
2022-08-12,43648.20
2022-08-15,43816.77
2022-08-16,43897.65
2022-08-17,43522.80
2022-08-18,43630.88
2022-08-19,43018.79
2022-08-22,42098.30
2022-08-23,42036.35
2022-08-24,42192.38
2022-08-25,42797.08
2022-08-26,41361.27
2022-08-29,41072.16
2022-08-30,40607.58
2022-08-31,40295.08
2022-09-01,40341.95
2022-09-02,39931.67
2022-09-05,.
2022-09-06,39749.55
2022-09-07,40499.75
2022-09-08,40789.20
2022-09-09,41447.07
2022-09-12,41886.51
2022-09-13,40089.10
2022-09-14,40231.22
2022-09-15,39792.55
2022-09-16,39451.00
2022-09-19,39730.63
2022-09-20,39262.86
2022-09-21,38606.32
2022-09-22,38183.79
2022-09-23,37485.42
2022-09-26,37064.62
2022-09-27,37025.74
2022-09-28,37809.53
2022-09-29,36986.49
2022-09-30,36480.79
2022-10-03,37423.38
2022-10-04,38634.23
2022-10-05,38538.62
2022-10-06,38175.10
2022-10-07,37091.41
2022-10-10,36794.16
2022-10-11,36570.23
2022-10-12,36464.72
2022-10-13,37359.61
2022-10-14,36457.96
2022-10-17,37457.37
2022-10-18,37906.73
2022-10-19,37580.58
2022-10-20,37278.64
2022-10-21,38128.88
2022-10-24,38534.14
2022-10-25,39236.63
2022-10-26,38984.49
2022-10-27,38785.16
2022-10-28,39699.30
2022-10-31,39436.06
2022-11-01,39311.87
2022-11-02,38281.86
2022-11-03,37903.64
2022-11-04,38364.32
2022-11-07,38705.75
2022-11-08,38912.06
2022-11-09,38060.88
2022-11-10,40232.78
2022-11-11,40634.85
2022-11-14,40234.95
2022-11-15,40637.53
2022-11-16,40225.05
2022-11-17,40059.59
2022-11-18,40244.75
2022-11-21,40057.95
2022-11-22,40604.37
2022-11-23,40837.02
2022-11-24,.
2022-11-25,40839.02
2022-11-28,40188.49
2022-11-29,40148.73
2022-11-30,41381.83
2022-12-01,41357.04
2022-12-02,41324.08
2022-12-05,40510.83
2022-12-06,39915.31
2022-12-07,39830.21
2022-12-08,40132.30
2022-12-09,39827.08
2022-12-12,40403.26
2022-12-13,40701.72
2022-12-14,40462.64
2022-12-15,39447.74
2022-12-16,39025.94
2022-12-19,38638.09
2022-12-20,38699.07
2022-12-21,39284.75
2022-12-22,38716.97
2022-12-23,38935.85
2022-12-26,.
2022-12-27,38765.50
2022-12-28,38282.27
2022-12-29,38987.85
2022-12-30,38896.39
2023-01-02,.
2023-01-03,38718.52
2023-01-04,39051.19
2023-01-05,38591.69
2023-01-06,39457.78
2023-01-09,39460.15
2023-01-10,39763.08
2023-01-11,40285.31
2023-01-12,40477.78
2023-01-13,40649.07
2023-01-16,.
2023-01-17,40585.73
2023-01-18,39965.08
2023-01-19,39639.15
2023-01-20,40398.19
2023-01-23,40906.31
2023-01-24,40857.71
2023-01-25,40862.69
2023-01-26,41308.98
2023-01-27,41449.70
2023-01-30,40890.75
2023-01-31,41538.54
2023-02-01,42011.14
2023-02-02,42660.26
2023-02-03,42217.26
2023-02-06,41916.91
2023-02-07,42432.38
2023-02-08,41953.32
2023-02-09,41551.95
2023-02-10,41624.06
2023-02-13,42098.46
2023-02-14,42121.92
2023-02-15,42311.95
2023-02-16,41753.63
2023-02-17,41628.20
2023-02-20,.
2023-02-21,40744.42
2023-02-22,40715.27
2023-02-23,40922.81
2023-02-24,40483.95
2023-02-27,40605.89
2023-02-28,40496.66
2023-03-01,40332.24
2023-03-02,40621.48
2023-03-03,41270.69
2023-03-06,41226.53
2023-03-07,40619.45
2023-03-08,40670.72
2023-03-09,39854.83
2023-03-10,39177.90
2023-03-13,39059.82
2023-03-14,39719.44
2023-03-15,39401.10
2023-03-16,40079.29
2023-03-17,39576.30
2023-03-20,39930.79
2023-03-21,40499.42
2023-03-22,39777.11
2023-03-23,39861.05
2023-03-24,40080.50
2023-03-27,40189.93
2023-03-28,40136.22
2023-03-29,40709.45
2023-03-30,40921.86
2023-03-31,41548.02
2023-04-03,41667.38
2023-04-04,41374.23
2023-04-05,41215.87
2023-04-06,41351.96
2023-04-07,.
2023-04-10,41440.79
2023-04-11,41482.00
2023-04-12,41289.19
2023-04-13,41828.68
2023-04-14,41720.09
2023-04-17,41888.01
2023-04-18,41912.70
2023-04-19,41917.25
2023-04-20,41661.12
2023-04-21,41692.72
2023-04-24,41706.37
2023-04-25,40997.49
2023-04-26,40830.59
2023-04-27,41599.11
2023-04-28,41941.00
2023-05-01,41929.43
2023-05-02,41401.67
2023-05-03,41158.31
2023-05-04,40846.68
2023-05-05,41623.89
2023-05-08,41649.19
2023-05-09,41474.94
2023-05-10,41659.74
2023-05-11,41562.97
2023-05-12,41483.36
2023-05-15,41662.95
2023-05-16,41339.27
2023-05-17,41875.83
2023-05-18,42271.02
2023-05-19,42177.29
2023-05-22,42244.42
2023-05-23,41790.27
2023-05-24,41478.17
2023-05-25,41747.95
2023-05-26,42298.25
2023-05-29,.
2023-05-30,42300.79
2023-05-31,42046.68
2023-06-01,42463.83
2023-06-02,43173.65
2023-06-05,43051.10
2023-06-06,43256.25
2023-06-07,43158.55
2023-06-08,43384.25
2023-06-09,43394.33
2023-06-12,43792.23
2023-06-13,44126.32
2023-06-14,44113.94
2023-06-15,44648.38
2023-06-16,44465.24
2023-06-19,.
2023-06-20,44244.75
2023-06-21,44013.11
2023-06-22,44122.31
2023-06-23,43757.49
2023-06-26,43603.49
2023-06-27,44136.20
2023-06-28,44155.80
2023-06-29,44370.97
2023-06-30,44875.04
2023-07-03,44947.75
2023-07-04,.
2023-07-05,44818.39
2023-07-06,44415.78
2023-07-07,44366.27
2023-07-10,44546.60
2023-07-11,44893.25
2023-07-12,45224.89
2023-07-13,45625.40
2023-07-14,45521.58
2023-07-17,45734.22
2023-07-18,46079.41
2023-07-19,46206.30
2023-07-20,45867.00
2023-07-21,45864.95
2023-07-24,46023.69
2023-07-25,46143.32
2023-07-26,46170.16
2023-07-27,45827.14
2023-07-28,46315.30
2023-07-31,46441.74
2023-08-01,46305.02
2023-08-02,45646.35
2023-08-03,45530.03
2023-08-04,45300.14
2023-08-07,45668.82
2023-08-08,45453.92
2023-08-09,45126.93
2023-08-10,45123.34
2023-08-11,45081.51
2023-08-14,45305.66
2023-08-15,44772.26
2023-08-16,44415.82
2023-08-17,44042.79
2023-08-18,44066.78
2023-08-21,44334.02
2023-08-22,44209.01
2023-08-23,44701.15
2023-08-24,44096.85
2023-08-25,44382.60
2023-08-28,44669.96
2023-08-29,45327.59
2023-08-30,45512.95
2023-08-31,45460.21
2023-09-01,45597.84
2023-09-04,.
2023-09-05,45348.83
2023-09-06,45048.68
2023-09-07,44880.51
2023-09-08,44933.25
2023-09-11,45221.15
2023-09-12,44987.98
2023-09-13,44987.35
2023-09-14,45374.43
2023-09-15,44841.37
2023-09-18,44839.16
2023-09-19,44733.86
2023-09-20,44327.34
2023-09-21,43579.31
2023-09-22,43482.13
2023-09-25,43654.44
2023-09-26,43018.41
2023-09-27,43078.43
2023-09-28,43349.61
2023-09-29,43241.55
2023-10-02,43169.37
2023-10-03,42541.72
2023-10-04,42868.33
2023-10-05,42814.70
2023-10-06,43324.13
2023-10-09,43601.53
2023-10-10,43863.28
2023-10-11,44032.17
2023-10-12,43677.58
2023-10-13,43435.55
2023-10-16,43930.12
2023-10-17,43979.87
2023-10-18,43340.27
2023-10-19,42942.74
2023-10-20,42398.85
2023-10-23,42289.81
2023-10-24,42604.27
2023-10-25,41954.82
2023-10-26,41525.46
2023-10-27,41293.17
2023-10-30,41765.92
2023-10-31,42052.28
2023-11-01,42456.01
2023-11-02,43293.55
2023-11-03,43784.13
2023-11-06,43784.68
2023-11-07,43917.74
2023-11-08,43919.72
2023-11-09,43530.16
2023-11-10,44180.94
2023-11-13,44150.54
2023-11-14,45134.38
2023-11-15,45216.59
2023-11-16,45191.01
2023-11-17,45304.71
2023-11-20,45634.60
